chamber,role,state,district,name,party,kind,what,date,source,source_name,grade,lean,as_of,page
Senate,senator,MD,,Chris Van Hollen,Democratic,action,Co-led the Power for the People Act with Welch: data-center operators pay the infrastructure and energy costs they create instead of ratepayers.,,https://www.welch.senate.gov/welch-joins-new-bill-to-ensure-americans-arent-footing-the-bill-for-big-data-centers,Sen. Welch joins bill so Americans aren't footing big data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-v000128
Senate,senator,MD,,Angela D. Alsobrooks,Democratic,action,"Cosponsored the Power for the People Act, making data-center operators pay the grid costs they create.",,https://www.welch.senate.gov/welch-joins-new-bill-to-ensure-americans-arent-footing-the-bill-for-big-data-centers,Sen. Welch joins bill so Americans aren't footing big data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-a000382
Senate,senator,MN,,Tina Smith,Democratic,action,"Cosponsored the Power for the People Act, making data-center operators pay the grid costs they create.",,https://www.welch.senate.gov/welch-joins-new-bill-to-ensure-americans-arent-footing-the-bill-for-big-data-centers,Sen. Welch joins bill so Americans aren't footing big data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-s001203
Senate,senator,MO,,Josh Hawley,Republican,action,Co-introduced the GRID Act to stop data centers from raising Americans' electricity costs.,,https://www.hawley.senate.gov/hawley-blumenthal-introduce-bill-to-prevent-data-centers-from-increasing-electricity-costs-for-americans,Sens. Hawley & Blumenthal — GRID Act to stop data centers raising electric bills (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-h001089
Senate,senator,MS,,Cindy Hyde-Smith,Republican,action,Pressed FERC commissioners at oversight to make large loads such as data centers pay upfront so residential rates do not rise.,,https://www.hydesmith.senate.gov/hyde-smith-ferc-commissioners-examine-affordability-data-centers-proliferate,Sen. Hyde-Smith — FERC commissioners examine affordability as data centers proliferate (2026),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-h001079
Senate,senator,NH,,Jeanne Shaheen,Democratic,action,Signed the New England senators' letter asking ISO New England how it will protect residential ratepayers from data-center-driven price increases.,,https://www.shaheen.senate.gov/news/press/shaheen-joins-colleagues-in-searching-for-answers-about-how-new-regional-data-centers-will-drive-up-energy-costs-for-new-england-communities,Sen. Shaheen joins letter to ISO New England on data-center energy costs (2026),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-s001181
Senate,senator,NJ,,Cory A. Booker,Democratic,action,"Cosponsored the Power for the People Act, making data-center operators pay the grid costs they create.",,https://www.welch.senate.gov/welch-joins-new-bill-to-ensure-americans-arent-footing-the-bill-for-big-data-centers,Sen. Welch joins bill so Americans aren't footing big data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-b001288
Senate,senator,NJ,,Andy Kim,Democratic,action,Co-led the NJ delegation's letter pressing PJM on the data-center-driven capacity price increase behind a ~17% rate rise.,,https://www.kim.senate.gov/press_release/kim-booker-lead-members-of-nj-congressional-delegation-in-letter-to-pjm-interconnection-pjm-raising-serious-concerns-over-rate-increase-impacting-new-jersey-families/,Sens. Kim & Booker lead NJ delegation letter to PJM on rate increase (2025),B,mixed,2026-09-05,https://aigridwatch.com/senators#sen-k000394
Senate,senator,NM,,Martin Heinrich,Democratic,action,Introduced the GRID Savings Act (2026) — large electricity users pay for grid infrastructure; opposes moratoriums as a race to the bottom.,,https://www.energy.senate.gov/2026/8/heinrich-introduces-legislation-to-ensure-large-users-of-electricity-pay-for-grid-upgrades-protect-customers-from-costs-of-data-center-expansion,"Sen. Heinrich (ENR Ranking Member) — GRID Savings Act, large users pay for the grid (2026)",A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-h001046
Senate,senator,OH,,Jon Husted,Republican,action,Leads a Senate bill to protect Americans from footing the bill for new data centers.,,https://www.husted.senate.gov/media/press-releases/husted-leads-bill-to-protect-americans-from-footing-the-bill-for-new-data-centers/,Sen. Husted leads bill to protect Americans from new data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-h001104
Senate,senator,OR,,Ron Wyden,Democratic,action,"Demanded answers from Google, Apple, Meta and Amazon on data-center water use in Oregon, and proposed stripping data centers of federal investment incentives plus a new excise tax.",,https://www.wyden.senate.gov/news/press-releases/wyden-demands-big-tech-execs-answer-questions-about-data-centers-water-impact,Sen. Wyden demands Big Tech execs answer on data-center water impact (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000779
Senate,senator,OR,,Jeff Merkley,Democratic,action,"With Wyden, wrote Oregon's data center advisory committee listing constituent concerns on energy demand, consumer costs, water, noise and farmland.",,https://www.merkley.senate.gov/wyden-merkley-ask-state-data-center-advisory-committee-to-consider-multiple-issues-raised-by-oregonians/,Sens. Wyden & Merkley ask Oregon data center advisory committee to weigh Oregonians' concerns (2026),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-m001176
Senate,senator,PA,,John Fetterman,Democratic,action,"Blasted a proposed data-center moratorium as 'China First,' opposing the pause approach.",,https://thehill.com/homenews/senate/5877732-fetterman-ai-data-centers/,Sen. Fetterman calls a data-center moratorium 'China First' (2026),D,accelerate,2026-09-05,https://aigridwatch.com/senators#sen-f000479
Senate,senator,RI,,Jack Reed,Democratic,action,Co-led the New England senators' letter asking ISO New England how it will shield residential ratepayers from data-center-driven price increases.,,https://www.reed.senate.gov/news/releases/reed-and-whitehouse-seek-answers-about-how-new-regional-data-centers-could-drive-up-energy-health_environmental-costs-for-consumers,Sens. Reed & Whitehouse seek answers on how regional data centers could drive up costs (2026),B,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-r000122
Senate,senator,RI,,Sheldon Whitehouse,Democratic,action,"Co-led the New England senators' letter to ISO New England on data-center-driven rate increases; earlier urged the White House not to fast-track data centers past clean-air, water and cost protections.",,https://www.whitehouse.senate.gov/news/release/reed-whitehouse-seek-answers-about-how-new-regional-data-centers-could-drive-up-energy-health-environmental-costs-for-consumers/,Sens. Reed & Whitehouse seek answers on how regional data centers could drive up costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000802
Senate,senator,SD,,Mike Rounds,Republican,statement,"In a KOTA Territory TV interview on Rapid City data-center backlash and a proposed EPA permit change, Rounds said data centers must go only where they are actively welcomed by local populations and must remain grounded in extensive discussion with local residents; he added that long-term most new data centers will probably be based in space.",2026-09-05,https://www.kotatv.com/2026/09/05/rapid-city-data-center-backlash-epa-rules-meta-cash-space-tech/,KOTA Territory TV,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-r000605
Senate,senator,TN,,Marsha Blackburn,Republican,action,"Released the TRUMP AMERICA AI Act discussion draft, which would make data-center operators responsible for the full cost of energy and water infrastructure with no impact on ratepayers.",,https://www.blackburn.senate.gov/2025/12/technology/blackburn-unveils-national-policy-framework-for-artificial-intelligence,Sen. Blackburn unveils TRUMP AMERICA AI Act national policy framework (2025),B,mixed,2026-09-05,https://aigridwatch.com/senators#sen-b001243
Senate,senator,UT,,Mike Lee,Republican,action,"As Energy Committee chair, backed FERC's Large Load Order at oversight and agreed existing ratepayers should not subsidize data centers; says data-center legislation is not currently a priority.",,https://www.publicpower.org/periodical/article/senate-energy-natural-resources-committee-holds-ferc-oversight-hearing,APPA — Senate ENR Committee holds FERC oversight hearing (2026),B,mixed,2026-09-05,https://aigridwatch.com/senators#sen-l000577
Senate,senator,VA,,Mark R. Warner,Democratic,action,"Sponsored legislation so Virginians aren't stuck footing data-center utility costs, plus an energy/water disclosure bill.",,https://www.warner.senate.gov/newsroom/press-releases/warner-sponsors-bill-to-ensure-virginians-arent-stuck-footing-the-bill-for-big-data-centers/,Sen. Warner — bill so Virginians aren't stuck footing big data-center costs (2026),A,mixed,2026-09-05,https://aigridwatch.com/senators#sen-w000805
Senate,senator,VT,,Bernard Sanders,Independent,action,"Introduced the AI Data Center Moratorium Act (S. 4214) with Rep. Ocasio-Cortez: no new or expanded AI data centers until federal safeguards, including against higher utility costs, are in place.",,https://www.sanders.senate.gov/press-releases/news-sanders-ocasio-cortez-announce-ai-data-center-moratorium-act/,Sens. Sanders & Rep. Ocasio-Cortez announce AI Data Center Moratorium Act (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-s000033
Senate,senator,VT,,Peter Welch,Democratic,action,Joined a bill to ensure Americans aren't footing the bill for big data centers.,,https://www.welch.senate.gov/welch-joins-new-bill-to-ensure-americans-arent-footing-the-bill-for-big-data-centers,Sen. Welch joins bill so Americans aren't footing big data-center costs (2026),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000800
Senate,senator,AL,,Katie Boyd Britt,Republican,statement,"Told Semafor she would ""love to see"" the Ratepayer Protection Pledge ""turned into law,"" and that ""we do not need a national moratorium, and we do not need a data center on every corner.""",2026-09-04,https://www.semafor.com/article/09/04/2026/britt-congress-should-turn-trumps-data-center-pledge-into-law,Semafor,,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-b001319
Senate,senator,OH,,Bernie Moreno,Republican,statement,"At the Ohio Energy Affordability Summit announced he will introduce legislation imposing a federal tax equal to 100% of any state or local tax incentive given to a data center, saying ""I don't want a single taxpayer dollar going to support these data centers.""",2026-09-03,https://www.cpapracticeadvisor.com/2026/09/03/ohio-senator-wants-to-wipe-out-data-center-tax-breaks-nationwide/189722/,CPA Practice Advisor,,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-m001242
Senate,senator,WV,,James C. Justice,Republican,statement,"At the West Virginia Chamber of Commerce annual meeting, urged attendees not to fear data centers but said companies must be responsible neighbors: 'If you're going to come to West Virginia and you're going to do something in West Virginia, you need to be taking care of everybody. The environment, the water, the electricity bills, the noise. You've got to take care of everybody, and there's a way to do it.'",2026-09-03,https://www.newsandsentinel.com/news/business/2026/09/capito-justice-focus-remarks-on-energy-at-90th-annual-w-va-chamber-meeting/,Parkersburg News and Sentinel,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-j000312
Senate,senator,AL,,Tommy Tuberville,Republican,statement,"Op-ed ""My game plan for data centers"": ""Local communities will decide whether a data center is right for them""; data centers go in ""Alabama's highest property-tax bracket"" with no abatements; companies must ""pay the total cost of the transmission lines, substations and water systems"" they need; pledges to freeze Alabama Power rates through 2029 and beyond.",2026-09-01,https://www.alreporter.com/2026/09/01/opinion-my-game-plan-for-data-centers/,Alabama Political Reporter (Tuberville op-ed),,mixed,2026-09-05,https://aigridwatch.com/senators#sen-t000278
Senate,senator,AL,,Katie Boyd Britt,Republican,statement,"Defended the Trump administration's nonbinding Ratepayer Protection Pledge as ""an outstanding first step to protecting Alabamians and ratepayers,"" and said communities should weigh ""the amount of power that's taken"" against tax revenue.",2026-09-01,https://www.alreporter.com/2026/09/01/britt-talks-data-center-accountability-defends-trump-admin-ratepayer-pledge/,Alabama Political Reporter,,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-b001319
Senate,senator,NE,,Pete Ricketts,Republican,statement,"At the Nebraska State Fair U.S. Senate debate said ""when it comes to data centers, local control is the name of the game,"" that communities ""should negotiate first"" and are ""in the driver's seat,"" and should insist ""you shouldn't impact my power rates. You should conserve water - closed-loop systems,"" then ask for more in property taxes.",2026-09-01,https://nebraskapublicmedia.org/en/news/news-articles/money-power-take-center-stage-during-ricketts-and-osborns-state-fair-debate/,Nebraska Public Media,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-r000618
Senate,senator,PA,,John Fetterman,Democratic,statement,"Posted on X, as quoted by the Philadelphia Inquirer, that he agreed with President Trump's defense of data centers: ""There's nothing more damaging to a Democrat than agreeing with Trump AND data centers — but what's right is right,"" and ""We must win the war for AI supremacy over China.""",2026-08-31,https://www.inquirer.com/politics/nation/fetterman-trump-data-centers-ai-20260831.html,Philadelphia Inquirer,D,accelerate,2026-09-05,https://aigridwatch.com/senators#sen-f000479
Senate,senator,SD,,John Thune,Republican,statement,"Told KELOLAND that data centers 'need to be self-sufficient. They ought to be able to take care of their own utilities, their own power, and that ought to be a given any place they go in the country. But they shouldn't be going places where there isn't support for them at the local level.'",2026-08-31,https://talkingpointsmemo.com/where-things-stand/thune-tries-to-carve-out-lane-for-gop-on-data-centers-beyond-trumps-poor-people-bombast,Talking Points Memo (quoting KELOLAND interview),,mixed,2026-09-05,https://aigridwatch.com/senators#sen-t000250
Senate,senator,GA,,Raphael G. Warnock,Democratic,statement,"Speaking in Guyton near OpenAI's proposed Effingham County site, called for a data center pause in Georgia — ""In the absence of Congress not getting its act together and putting some common-sense guardrails in place, local communities and states find themselves in a race to the bottom"" — with conditions: no increase in residents' water or electric bills, no water/air/noise/light pollution, no NDAs, no ""sweetheart tax giveaways""; ""This is not OpenAI County — this is Effingham County.""",2026-08-28,https://thecurrentga.org/2026/08/28/warnock-calls-for-data-center-moratorium-in-georgia/,The Current (Georgia),A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000790
House,candidate,OH,6,Michael Rulli,Republican,statement,"On Fox Business, supported the OpenAI/Nvidia $500B data center project but acknowledged 'Most of my constituents do not like data centers.' Claimed 'The CCP has infiltrated Ohio with propaganda against this' and advocated 'Keep them out of the corn fields. Keep them out of the neighborhoods.'",2026-08-28,https://www.breitbart.com/clips/2026/08/28/gop-rep-rulli-the-ccp-has-infiltrated-ohio-with-propaganda-against-500b-data-center/,,,accelerate,2026-09-06,https://aigridwatch.com/house-races#race-oh-6
Senate,senator,TX,,Ted Cruz,Republican,statement,"On NewsNation's 'Katie Pavlich Tonight', Cruz said 'the concerns being raised about data centers are real and reasonable' and suggested developers offer residents direct payments or tell them 'your electricity bill is zero for the rest of your life. We will pay your electric bill—forever.'",2026-08-25,https://www.yahoo.com/news/politics/articles/data-centers-offer-cash-financial-020733395.html,NewsNation (via Yahoo News),,mixed,2026-09-05,https://aigridwatch.com/senators#sen-c001098
Senate,senator,PA,,John Fetterman,Democratic,statement,"Posted on X, as quoted by TribLive: ""AI supremacy and energy dominance underpins our national security"" and ""I reject the political pandering and hyperbole over data centers,"" adding ""America must lead in the development of AI, otherwise we live under China's rules.""",2026-08-24,https://community.triblive.com/news/4122896,TribLive,D,accelerate,2026-09-05,https://aigridwatch.com/senators#sen-f000479
Senate,senator,WY,,John Barrasso,Republican,statement,"On a proposal to site data centers on public lands, told Cowboy State Daily: 'Development of federal land, including the construction of new data centers, deserves meaningful input from state and local governments and the public. The people of Wyoming expect to have their voices heard.'",2026-08-24,https://cowboystatedaily.com/2026/08/23/a-data-center-is-proposed-for-public-lands-in-nevada-could-wyoming-be-next/,Cowboy State Daily,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-b001261
Senate,candidate,TX,,Ken Paxton,Republican,statement,"Released a four-point “Texas First Data Center Plan”: bar Chinese technology from powering American data centers, hold operators criminally liable where a center powers AI chatbots that endanger children, and co-sponsor Sen. Tom Cotton's DATA Act.",2026-08-24,https://thehill.com/policy/technology/6049559-ken-paxton-texas-senate-ai-data-center-plan/,,,mixed,2026-08-25,https://aigridwatch.com/senate-races#race-tx
Senate,candidate,TX,,Ken Paxton,Republican,statement,"Reported to have taken roughly $400,000 from data-center-connected donors; as attorney general, declined requests to act against local data-center development.",2026-08-24,https://www.washingtonpost.com/nation/2026/08/24/ken-paxton-unveils-anti-data-center-plan-gop-voter-anger-mounts-texas/,,,mixed,2026-08-25,https://aigridwatch.com/senate-races#race-tx
Senate,senator,LA,,Bill Cassidy,Republican,statement,"Quoted praising Meta's Richland Parish data center: 'Economic growth increases the tax base and sales tax revenue' and 'Teacher bonuses there are up to $50,000 this year.'",2026-08-23,https://www.yahoo.com/news/politics/articles/see-the-moment-when-republican-politicians-turned-against-data-centers-090000267.html,Washington Post (syndicated on Yahoo News),,accelerate,2026-09-05,https://aigridwatch.com/senators#sen-c001075
House,candidate,GA,7,Rich McCormick,Republican,statement,"Said the U.S. should keep expanding data centers to hold AI leadership, arguing they can be built responsibly and benefit local economies, and pushed back on what he called alarmism in local protests.",2026-08-23,https://www.bloomberg.com/news/videos/2026-08-23/rep-mccormick-warns-against-slowing-ai-buildout-video,,,accelerate,2026-08-26,https://aigridwatch.com/house-races#race-ga-7
Senate,candidate,OH,,Jon Husted,Republican,statement,"Bill introduced the day after Brown's first attack ad aired; reported to have taken roughly $69,750 from tech and energy PACs and employees including Google, Amazon, Microsoft, Oracle, AEP, Duke Energy and Vistra.",2026-08-21,https://ohiocapitaljournal.com/2026/08/21/leaked-memo-about-data-centers-shows-gop-worried-about-ohios-u-s-senate-race/,,,mixed,2026-08-25,https://aigridwatch.com/senate-races#race-oh
Senate,senator,AL,,Katie Boyd Britt,Republican,statement,"Said data center decisions ""need to be made on a local level,"" that communities that reject a proposal ""shouldn't be forced"" to proceed, and that neither ""a data center on every corner"" nor ""a full moratorium"" is the right avenue; backs the White House Ratepayer Protection Pledge.",2026-08-20,https://aldailynews.com/britt-wants-to-find-a-middle-ground-on-data-centers/,Alabama Daily News,,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-b001319
Senate,senator,SD,,John Thune,Republican,statement,"In an August 2026 South Dakota appearance, Thune called energy permitting reform a rare bipartisan opportunity, citing utilities' rapidly growing demand 'including that associated with data centers'; he framed faster permitting as the way to add generation and transmission.",2026-08-20,https://www.kotatv.com/2026/08/20/thune-calls-energy-development-permitting-reform-rare-opportunity-bipartisan-action/,KOTA Territory TV / South Dakota Searchlight,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-t000250
Senate,candidate,MI,,Mike Rogers,Republican,statement,"Endorsed a one-year Michigan moratorium on new data-center development, citing community control, utility price hikes, water, and “pay-to-play schemes” — a state pause, not a national ban.",2026-08-20,https://www.detroitnews.com/story/news/politics/2026/08/20/data-center-politics-michigan-senate-mike-rogers-abdul-el-sayed/91385736007/,,,mixed,2026-08-25,https://aigridwatch.com/senate-races#race-mi
Senate,candidate,MI,,Mike Rogers,Republican,statement,Shift came days after reporting that he holds millions in tech investments that stand to benefit from the data-center buildout; his campaign would not say whether he would divest.,2026-08-20,https://michiganadvance.com/2026/08/20/after-data-center-investments-revealed-rogers-backs-statewide-moratorium/,,,mixed,2026-08-25,https://aigridwatch.com/senate-races#race-mi
Senate,senator,ME,,Susan M. Collins,Republican,statement,"Told the Bangor Daily News data-center projects should be handled case by case, favoring former mill sites because ""there is usually hydropower right there,"" while saying ""I do share the concern of data centers gobbling up too much energy and putting stress on the cost of energy.""",2026-08-19,https://www.bangordailynews.com/2026/08/19/politics/elections/susan-collins-cautious-on-maine-data-centers/,Bangor Daily News,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-c001035
Senate,senator,SC,,Darline Graham,Republican,statement,"In the South Carolina GOP Senate debate said: ""Obviously, I just said I'm for data centers, but I also said that there needs to be community involvement, community guidelines, community guardrails.""",2026-08-18,https://www.nbcnews.com/politics/2026-election/darline-graham-defends-resume-south-carolina-debate-saying-national-se-rcna593244,NBC News,,mixed,2026-09-05,https://aigridwatch.com/senators#sen-g000608
House,candidate,VA,2,Jen Kiggans,Republican,statement,"Told The Daily Signal: “They have data centers under the ocean floor. We can't ban all data centers,” adding there is “a commonsense conversation to be had” on their consumption of energy, water and local resources, that the debate has so far been left to the General Assembly, and that she has “enjoyed watching the Democrats fight with each other about the issue.”",2026-08-18,https://www.dailysignal.com/2026/08/18/midterm-rematch-fate-of-country/,,,mixed,2026-09-05,https://aigridwatch.com/house-races#race-va-2
Senate,senator,AK,,Dan Sullivan,Republican,statement,"Asked in Kodiak about a rumored Navy data center at the Naval Special Warfare detachment on Spruce Cape, said ""I had never heard of that issue until last week,"" ""I think it's a rumor,"" and ""if it's true, I think it's a bad idea and I will work to stop it.""",2026-08-12,https://www.kodiakdailymirror.com/news/article_44944d6a-cbd1-4a30-bc5b-0585dbea48eb.html,Kodiak Daily Mirror,,accelerate,2026-09-05,https://aigridwatch.com/senators#sen-s001198
Senate,senator,MN,,Amy Klobuchar,Democratic,statement,"In a KFGO interview during her run for governor said data centers ""cause people's rates to go up, they have hurt the environment, and that just can't keep happening,"" criticized non-disclosure agreements keeping projects ""in the dark,"" and called for local control over siting decisions.",2026-08-12,https://kfgo.com/2026/08/12/1339958/,KFGO,,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-k000367
Senate,senator,KY,,Rand Paul,Republican,statement,"During a visit to Fort Knox, on data center siting: 'I don't think the federal government should regulate where data centers are placed or built, nor do I think the governor should. Each county should make this decision at the most local level.' He added that counties with a large tax base might not want one while poorer counties might.",2026-08-11,https://www.thenewsenterprise.com/news/local/during-brief-visit-at-fort-knox-rand-paul-discusses-data-centers-mcconnell-and-fauci/article_08796f57-df70-5ace-b59f-89191c200183.html,"The News-Enterprise (Elizabethtown, KY)",,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-p000603
Senate,senator,TN,,Bill Hagerty,Republican,statement,"During a Knoxville visit, asked about East Tennessee local governments' 12-month data-center moratoriums, Hagerty said 'we made it very clear to the data centers that they're going to have to make the investment, not only in our capacity but in our grid,' and that tech companies must ensure consumers are not 'bearing the burden' of the facilities.",2026-08-11,https://www.yahoo.com/news/politics/articles/sen-bill-hagerty-discusses-economic-194530943.html,WBIR (via Yahoo News),,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-h000601
Senate,candidate,OH,,Sherrod Brown,Democratic,statement,"Ran two July ads attacking Husted's record supporting tax breaks for data-center developers, and pledged to make data centers pay the full cost of their electricity use.",2026-08-10,https://ohiocapitaljournal.com/2026/08/10/ohio-u-s-senate-candidates-offer-contrasting-visions-for-data-centers/,,,guardrails,2026-08-25,https://aigridwatch.com/senate-races#race-oh
Senate,senator,OR,,Ron Wyden,Democratic,action,"As Finance Committee ranking member released a white paper proposing to remove existing tax investment incentives as applied to data centers and create a Data Center Public Investment excise tax, with revenue for workers displaced by AI; said communities ""are rightfully questioning whether the rapid buildout of data centers across the nation will benefit them, as local disruptions rise.""",2026-08-06,https://www.finance.senate.gov/ranking-members-news/wyden-unveils-proposal-to-ensure-data-centers-pay-for-disruptions-caused-to-communities,Senate Finance Committee (Ranking Member) release,A,guardrails,2026-09-05,https://aigridwatch.com/senators#sen-w000779
House,candidate,CA,17,Ro Khanna,Democratic,statement,"Introduced the Data Center Bill of Rights resolution: communities may ban data centers in residential areas and within 2,500 feet of homes, schools, childcare, hospitals or nursing homes; may reject a project through a transparent community process; county and municipal authority to prohibit or regulate is preserved against state preemption; and every data center must use clean, reliable energy under strict noise and air limits. It is a resolution, so it does not itself change law.",2026-08-06,https://khanna.house.gov/media/press-releases/release-rep-khanna-introduces-data-center-bill-rights,,,guardrails,2026-08-26,https://aigridwatch.com/house-races#race-ca-17
House,candidate,VA,7,Eugene Vindman,Democratic,statement,"Introduced the Smart Data Center Policy Act, directing the Department of Commerce to study the costs, benefits and possible federal incentives for siting data centers in industrial zones, rail and airport hubs and military installations rather than near homes and green space, with findings due to Congress in 180 days. Vindman: “We need to ensure data centers pay their fair share and are built in places that make sense — not next to neighborhoods, schools, or our public lands.”",2026-08-04,https://vindman.house.gov/2026/08/04/vindman-introduces-legislation-to-prevent-data-center-development-near-neighborhoods-schools-parks/,,,guardrails,2026-09-05,https://aigridwatch.com/house-races#race-va-7
